BASE_YM,CTPRVN_NM,SIGNGU_NM,ADSTRD_NM,BRDCST_TY_NM,GENRE_LCLAS_NM,GENRE_MLSFC_NM,HLDY_AT,AVRG_WTCHNG_CO,AVRG_WTCHNG_TIME_CO,DAWN_AVRG_WTCHNG_TIME_CO,AM_AVRG_WTCHNG_TIME_CO,PM_AVRG_WTCHNG_TIME_CO,EVENING_AVRG_WTCHNG_TIME_CO,AVRG_VOD_PRCHS_PRICE
202011,충남,예산군,신양면,LINEAR_TV,홈쇼핑,기타,Y,7,6,1,10,1,3,
202011,경기,동두천시,소요동,LINEAR_TV,정보,기타,Y,2,13,8,15,8,2,
202011,인천,남동구,장수서창동,LINEAR_TV,스포츠,배구,N,16,100,16,32,54,85,
202011,경기,과천시,별양동,LINEAR_TV,영화,액션/어드벤쳐,N,23,181,60,48,71,115,
202011,경기,성남시 수정구,태평1동,VOD,키즈,노래율동,Y,33,120,124,78,78,63,
202011,대구,달서구,용산1동,LINEAR_TV,스포츠,레슬링,N,7,48,8,48,40,28,
202011,제주,제주시,도두동,LINEAR_TV,연예/오락,연예정보,N,5,46,25,20,21,26,
202011,인천,동구,금창동,LINEAR_TV,영화,서부,N,4,32,8,33,23,24,
202011,제주,서귀포시,중문동,LINEAR_TV,홈쇼핑,패션/의류,N,21,44,13,25,12,18,
202011,서울,성동구,왕십리2동,LINEAR_TV,정보,기타,Y,2,11,9,13,2,1,
202011,경기,화성시,봉담읍,LINEAR_TV,라이프,기타,Y,16,77,24,24,31,24,
202011,경기,용인시 수지구,풍덕천1동,LINEAR_TV,연예/오락,연예정보,Y,8,75,10,35,43,29,
202011,전북,군산시,구암동,LINEAR_TV,스포츠,농구,N,6,57,6,13,9,63,
202011,경북,고령군,대가야읍,LINEAR_TV,TV 애니메이션,기타,Y,4,37,6,33,23,21,
202011,서울,강동구,천호3동,LINEAR_TV,정보,기타,N,2,15,12,18,10,5,
202011,경기,화성시,동탄8동,LINEAR_TV,교육,고등/수능,Y,2,7,5,2,0,15,
202011,경기,하남시,덕풍1동,LINEAR_TV,TV 애니메이션,학원/순정/연애,N,2,13,1,,21,4,
202011,충북,청주시 상당구,중앙동,VOD,키즈,놀이교실,Y,6,40,14,17,61,56,
202011,경기,파주시,파평면,LINEAR_TV,홈쇼핑,수산물,N,3,6,18,0,1,2,
202011,경기,수원시 팔달구,화서2동,LINEAR_TV,스포츠,레저,Y,7,38,21,18,18,24,
202011,서울,강서구,우장산동,VOD,키즈,다큐멘터리,Y,5,44,,34,53,38,
202011,충남,당진시,당진2동,LINEAR_TV,스포츠,정보,N,4,28,16,22,47,14,
